Unnamed: 0,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,Date,Source PM2.5 AQI Value,PM2.5 AQI Value,Source  AQI Value, AQI Value
1,1,-2.2,8.3,-5.0,1026.0,39.0,0.0,16.1,17.6,51.9,-, , , ,01/01/2009,AQS,22,,.
2,2,0.9,6.1,-5.0,1017.7,45.0,0.0,16.1,18.3,25.9,35.2, , , ,01/02/2009,AQS,34,,.
3,3,3.7,8.3,-1.0,1016.6,45.0,0.0,16.1,12.8,22.2,-, , , ,01/03/2009,AQS,42,,.
4,4,,,,,,,,,,, , , ,01/04/2009,AQS,69,,.
5,5,,,,,,,,,,,o, , ,01/05/2009,AQS,55,,.
6,6,,,,,,,,,,,o,o, ,01/06/2009,AQS,35,,.
7,7,1.8,5.0,0.0,1002.1,92.0,24.64,9.7,7.8,24.1,35.2,o, , ,01/07/2009,AQS,23,,.
8,8,3.2,5.6,0.6,1000.2,60.0,19.56,15.3,16.5,31.3,55.4,o,o, ,01/08/2009,AQS,19,,.
9,9,0.3,4.0,-3.0,1017.4,47.0,0.0,16.1,16.9,29.4,44.3, , , ,01/09/2009,AQS,50,,.
10,10,,,,,,,,,,,o,o, ,01/10/2009,AQS,66,,.
11,11,,,,,,,,,,,o, , ,01/11/2009,AQS,58,,.
12,12,,,,,,,,,,, , , ,01/12/2009,AQS,54,,.
13,13,0.7,4.4,-2.8,1020.6,72.0,0.0,15.8,8.9,16.5,-, , , ,01/13/2009,AQS,68,,.
14,14,-1.6,3.0,-6.0,1017.9,46.0,0.0,16.1,17.2,38.9,51.9, , , ,01/14/2009,AQS,29,,.
15,15,-3.3,-1.1,-7.0,1022.3,48.0,0.0,16.1,18.9,48.2,61.1, ,o, ,01/15/2009,AQS,40,,.
16,16,,,,,,,,,,, , , ,01/16/2009,AQS,32,,.
17,17,,,,,,,,,,, , , ,01/17/2009,AQS,46,,.
18,18,,,,,,,,,,, , , ,01/18/2009,AQS,63,,.
19,19,-0.9,2.8,-4.4,1005.8,71.0,0.0,13.0,6.7,22.2,-, ,o, ,01/19/2009,AQS,114,,.
20,20,-3.6,2.2,-7.2,1007.8,55.0,0.0,16.1,20.2,31.3,38.9, , , ,01/20/2009,AQS,76,,.
21,21,-3.8,1.1,-7.8,1015.7,42.0,0.0,16.1,18.0,25.9,44.3, , , ,01/21/2009,AQS,53,,.
22,22,,,,,,,,,,, , , ,01/22/2009,AQS,65,,.
23,23,,,,,,,,,,, , , ,01/23/2009,AQS,74,,.
24,24,,,,,,,,,,, , , ,01/24/2009,AQS,54,,.
25,25,-3.4,-0.6,-6.1,1027.7,44.0,0.0,16.1,12.8,31.3,38.9, , , ,01/25/2009,AQS,43,,.
26,26,-2.2,1.1,-6.1,1029.6,52.0,0.0,15.6,7.4,18.3,-, ,o, ,01/26/2009,AQS,69,,.
27,27,-1.4,-0.6,-3.9,1030.7,72.0,5.33,10.8,6.7,13.0,-,o,o, ,01/27/2009,AQS,86,,.
28,28,,,,,,,,,,,o,o, ,01/28/2009,AQS,40,,.
29,29,,,,,,,,,,, , , ,01/29/2009,AQS,67,,.
30,30,,,,,,,,,,, , , ,01/30/2009,AQS,68,,.
31,31,-1.9,2.0,-6.0,1018.4,39.0,0.0,16.1,14.6,24.1,40.7, , , ,01/31/2009,AQS,33,,.
1,1,4.1,16.1,-5.6,1016.0,44.0,0.0,16.1,15.0,25.9,40.7, , , ,02/01/2009,AQS,26,,.
2,2,7.4,16.1,-3.2,1014.1,52.0,0.0,16.1,13.9,40.7,57.2, , , ,02/02/2009,AQS,46,,.
3,3,2.2,5.0,0.6,1011.9,69.0,0.76,13.5,20.7,29.4,40.7, ,o, ,02/03/2009,AQS,54,,.
4,4,,,,,,,,,,, ,o, ,02/04/2009,AQS,50,,.
5,5,,,,,,,,,,, , , ,02/05/2009,AQS,29,,.
6,6,,,,,,,,,,, , , ,02/06/2009,AQS,55,,.
7,7,3.3,15.0,-8.3,1026.8,58.0,0.0,16.1,8.5,20.6,-, , , ,02/07/2009,AQS,60,,.
8,8,11.7,19.0,7.0,1018.9,46.0,0.0,16.1,16.3,38.9,55.4, , , ,02/08/2009,AQS,39,,.
9,9,6.1,19.4,-1.1,1028.3,56.0,0.0,15.9,12.2,20.6,-, , , ,02/09/2009,AQS,65,,.
10,10,,,,,,,,,,, , , ,02/10/2009,AQS,57,,.
11,11,,,,,,,,,,, , , ,02/11/2009,AQS,56,,.
12,12,,,,,,,,,,,o, , ,02/12/2009,AQS,48,,.
13,13,8.4,11.1,6.0,1014.6,33.0,0.0,16.1,25.0,42.4,57.2, , , ,02/13/2009,AQS,52,,.
14,14,4.2,10.6,-0.6,1016.2,53.0,0.0,16.1,8.1,16.5,-, , , ,02/14/2009,AQS,56,,.
