"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2017","AQS","55","","."
"01/02/2017","AQS","54","","."
"01/03/2017","AQS","40","","."
"01/04/2017","AQS","33","","."
"01/05/2017","AQS","36","","."
"01/06/2017","AQS","52","","."
"01/07/2017","AQS","66","","."
"01/08/2017","AQS","52","","."
"01/09/2017","AQS","49","","."
"01/10/2017","AQS","54","","."
"01/11/2017","AQS","60","","."
"01/12/2017","AQS","51","","."
"01/13/2017","AQS","41","","."
"01/14/2017","AQS","53","","."
"01/15/2017","AQS","59","","."
"01/16/2017","AQS","64","","."
"01/17/2017","AQS","68","","."
"01/18/2017","AQS","48","","."
"01/19/2017","AQS","41","","."
"01/20/2017","AQS","56","","."
"01/21/2017","AQS","46","","."
"01/22/2017","AQS","39","","."
"01/23/2017","AQS","13","","."
"01/24/2017","AQS","23","","."
"01/25/2017","AQS","25","","."
"01/26/2017","AQS","25","","."
"01/27/2017","AQS","20","","."
"01/28/2017","AQS","31","","."
"01/29/2017","AQS","43","","."
"01/30/2017","AQS","46","","."
"01/31/2017","AQS","35","","."
"02/01/2017","AQS","48","","."
"02/02/2017","AQS","32","","."
"02/03/2017","AQS","40","","."
"02/04/2017","AQS","45","","."
"02/05/2017","AQS","55","","."
"02/06/2017","AQS","70","","."
"02/07/2017","AQS","54","","."
"02/08/2017","AQS","50","","."
"02/09/2017","AQS","29","","."
"02/10/2017","AQS","38","","."
"02/11/2017","AQS","60","","."
"02/12/2017","AQS","63","","."
"02/13/2017","AQS","24","","."
"02/14/2017","AQS","44","","."
"02/15/2017","AQS","37","","."
"02/16/2017","AQS","22","","."
"02/17/2017","AQS","49","","."
"02/18/2017","AQS","59","","."
"02/19/2017","AQS","52","","."
"02/20/2017","AQS","45","","."
"02/21/2017","AQS","35","","."
"02/22/2017","AQS","52","","."
"02/23/2017","AQS","44","","."
"02/24/2017","AQS","32","","."
"02/25/2017","AQS","30","","."
"02/26/2017","AQS","35","","."
"02/27/2017","AQS","52","","."
"02/28/2017","AQS","56","","."
"03/01/2017","AQS","45","","."
"03/02/2017","AQS","19","","."
"03/03/2017","AQS","28","","."
"03/04/2017","AQS","35","","."
"03/05/2017","AQS","34","","."
"03/06/2017","AQS","50","","."
"03/07/2017","AQS","52","","."
"03/08/2017","AQS","15","","."
"03/09/2017","AQS","39","","."
"03/10/2017","AQS","23","","."
"03/11/2017","AQS","24","","."
"03/12/2017","AQS","40","","."
"03/13/2017","AQS","44","","."
"03/14/2017","AQS","35","","."
"03/15/2017","AQS","30","","."
"03/16/2017","AQS","35","","."
"03/17/2017","AQS","52","","."
"03/18/2017","AQS","55","","."
"03/19/2017","AQS","38","","."
"03/20/2017","AQS","45","","."
"03/21/2017","AQS","54","","."
"03/22/2017","AQS","25","","."
"03/23/2017","AQS","35","","."
"03/24/2017","AQS","48","","."
"03/25/2017","AQS","57","","."
"03/26/2017","AQS","52","","."
"03/27/2017","AQS","50","","."
"03/28/2017","AQS","44","","."
"03/29/2017","AQS","24","","."
"03/30/2017","AQS","29","","."
"03/31/2017","AQS","31","","."
"04/01/2017","AQS","33","","."
"04/02/2017","AQS","28","","."
"04/03/2017","AQS","34","","."
"04/04/2017","AQS","26","","."
"04/05/2017","AQS","25","","."
"04/06/2017","AQS","32","","."
"04/07/2017","AQS","11","","."
"04/08/2017","AQS","20","","."
"04/09/2017","AQS","37","","."
"04/10/2017","AQS","48","","."
"04/11/2017","AQS","57","","."
"04/12/2017","AQS","40","","."
"04/13/2017","AQS","34","","."
"04/14/2017","AQS","49","","."
"04/15/2017","AQS","50","","."
"04/16/2017","AQS","45","","."
"04/17/2017","AQS","36","","."
"04/18/2017","AQS","34","","."
"04/19/2017","AQS","32","","."
"04/20/2017","AQS","39","","."
"04/21/2017","AQS","65","","."
"04/22/2017","AQS","56","","."
"04/23/2017","AQS","21","","."
"04/24/2017","AQS","25","","."
"04/25/2017","AQS","24","","."
"04/26/2017","AQS","30","","."
"04/27/2017","AQS","65","","."
"04/28/2017","AQS","62","","."
"04/29/2017","AQS","65","","."
"04/30/2017","AQS","63","","."
"05/01/2017","AQS","49","","."
"05/02/2017","AQS","24","","."
"05/03/2017","AQS","23","","."
"05/04/2017","AQS","34","","."
"05/05/2017","AQS","30","","."
"05/06/2017","AQS","20","","."
"05/07/2017","AQS","17","","."
"05/08/2017","AQS","25","","."
"05/09/2017","AQS","52","","."
"05/10/2017","AQS","52","","."
"05/11/2017","AQS","52","","."
"05/12/2017","AQS","33","","."
"05/13/2017","AQS","19","","."
"05/14/2017","AQS","31","","."
"05/15/2017","AQS","20","","."
"05/16/2017","AQS","38","","."
"05/17/2017","AQS","60","","."
"05/18/2017","AQS","58","","."
"05/19/2017","AQS","60","","."
"05/20/2017","AQS","44","","."
"05/21/2017","AQS","28","","."
"05/22/2017","AQS","32","","."
"05/23/2017","AQS","54","","."
"05/24/2017","AQS","36","","."
"05/25/2017","AQS","20","","."
"05/26/2017","AQS","27","","."
"05/27/2017","AQS","45","","."
"05/28/2017","AQS","50","","."
"05/29/2017","AQS","37","","."
"05/30/2017","AQS","42","","."
"05/31/2017","AQS","52","","."
"06/01/2017","AQS","41","","."
"06/02/2017","AQS","47","","."
"06/03/2017","AQS","53","","."
"06/04/2017","AQS","56","","."
"06/05/2017","AQS","52","","."
"06/06/2017","AQS","45","","."
"06/07/2017","AQS","39","","."
"06/08/2017","AQS","41","","."
"06/09/2017","AQS","47","","."
"06/10/2017","AQS","50","","."
"06/11/2017","AQS","56","","."
"06/12/2017","AQS","66","","."
"06/13/2017","AQS","64","","."
"06/14/2017","AQS","61","","."
"06/15/2017","AQS","54","","."
"06/16/2017","AQS","57","","."
"06/17/2017","AQS","39","","."
"06/18/2017","AQS","47","","."
"06/19/2017","AQS","35","","."
"06/20/2017","AQS","33","","."
"06/21/2017","AQS","51","","."
"06/22/2017","AQS","59","","."
"06/23/2017","AQS","44","","."
"06/24/2017","AQS","37","","."
"06/25/2017","AQS","38","","."
"06/26/2017","AQS","43","","."
"06/27/2017","AQS","40","","."
"06/28/2017","AQS","39","","."
"06/29/2017","AQS","53","","."
"06/30/2017","AQS","54","","."
"07/01/2017","AQS","40","","."
"07/02/2017","AQS","52","","."
"07/03/2017","AQS","51","","."
"07/04/2017","AQS","90","","."
"07/05/2017","AQS","68","","."
"07/06/2017","AQS","38","","."
"07/07/2017","AQS","26","","."
"07/08/2017","AQS","31","","."
"07/09/2017","AQS","35","","."
"07/10/2017","AQS","54","","."
"07/11/2017","AQS","57","","."
"07/12/2017","AQS","54","","."
"07/13/2017","AQS","55","","."
"07/14/2017","AQS","50","","."
"07/15/2017","AQS","39","","."
"07/16/2017","AQS","33","","."
"07/17/2017","AQS","52","","."
"07/18/2017","AQS","50","","."
"07/19/2017","AQS","56","","."
"07/20/2017","AQS","68","","."
"07/21/2017","AQS","64","","."
"07/22/2017","AQS","46","","."
