,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS
1,1,-2.2,8.3,-5,1026,39,0,16.1,17.6,51.9,-, , , 
2,2,0.9,6.1,-5,1017.7,45,0,16.1,18.3,25.9,35.2, , , 
3,3,3.7,8.3,-1,1016.6,45,0,16.1,12.8,22.2,-, , , 
4,4,,,,,,,,,,, , , 
5,5,,,,,,,,,,,o, , 
6,6,,,,,,,,,,,o,o, 
7,7,1.8,5,0,1002.1,92,24.64,9.7,7.8,24.1,35.2,o, , 
8,8,3.2,5.6,0.6,1000.2,60,19.56,15.3,16.5,31.3,55.4,o,o, 
9,9,0.3,4,-3,1017.4,47,0,16.1,16.9,29.4,44.3, , , 
10,10,,,,,,,,,,,o,o, 
11,11,,,,,,,,,,,o, , 
12,12,,,,,,,,,,, , , 
13,13,0.7,4.4,-2.8,1020.6,72,0,15.8,8.9,16.5,-, , , 
14,14,-1.6,3,-6,1017.9,46,0,16.1,17.2,38.9,51.9, , , 
15,15,-3.3,-1.1,-7,1022.3,48,0,16.1,18.9,48.2,61.1, ,o, 
16,16,,,,,,,,,,, , , 
17,17,,,,,,,,,,, , , 
18,18,,,,,,,,,,, , , 
19,19,-0.9,2.8,-4.4,1005.8,71,0,13,6.7,22.2,-, ,o, 
20,20,-3.6,2.2,-7.2,1007.8,55,0,16.1,20.2,31.3,38.9, , , 
21,21,-3.8,1.1,-7.8,1015.7,42,0,16.1,18,25.9,44.3, , , 
22,22,,,,,,,,,,, , , 
23,23,,,,,,,,,,, , , 
24,24,,,,,,,,,,, , , 
25,25,-3.4,-0.6,-6.1,1027.7,44,0,16.1,12.8,31.3,38.9, , , 
26,26,-2.2,1.1,-6.1,1029.6,52,0,15.6,7.4,18.3,-, ,o, 
27,27,-1.4,-0.6,-3.9,1030.7,72,5.33,10.8,6.7,13,-,o,o, 
28,28,,,,,,,,,,,o,o, 
29,29,,,,,,,,,,, , , 
30,30,,,,,,,,,,, , , 
31,31,-1.9,2,-6,1018.4,39,0,16.1,14.6,24.1,40.7, , , 
